,SlNo,AllWaitMean,AllFinancialQueueMean,AllContactQueueMean,AllFinancialUtilMean,AllContactUtilMean
0,1,1.510434128941959,0.6921437599801706,0.8393894717422928,0.719028255941391,0.6596835090359036
1,2,0.7910369385750362,0.17026835335324442,0.5685787836154244,0.5726421542583711,0.7350544576315098
2,3,1.7645645391959024,1.2424770063733328,0.5110590044525943,0.7250005936209865,0.6848480237965467
3,4,1.0355281744996097,0.46819023997236786,0.5026174236210161,0.6276736902860621,0.69038681399578
4,5,2.0460536332719497,1.8234040197134305,0.33774013043006407,0.7969281156914452,0.6457194984441719
5,6,1.8250379630091156,1.1090994823597824,0.7876434718478328,0.8052603847064008,0.6814691960073952
6,7,1.238936112186569,0.33852843537565697,0.8462042219027496,0.6479928312083982,0.6508819625551127
7,8,2.5262869843842464,1.8888431121496452,0.7527378793918028,0.816234162439059,0.7320631129512906
8,9,0.8172381092567659,0.3969212798933022,0.38456266208348017,0.6913635327957538,0.6269161410271292
9,10,2.6974552293836873,2.620978813255262,0.2113491775976121,0.8039960561305548,0.6326530747634516
10,11,1.23165323032233,0.7580992465164788,0.3811799915316763,0.6704177650090344,0.688961710621299
11,12,2.0263516825241363,1.5458984533205267,0.5577663938407367,0.7759399354133962,0.6881545652991035
12,13,1.4537350751408602,0.7173068685745964,0.6743185494681502,0.7354917074113574,0.6588347575293398
13,14,1.5986184934923429,1.2340373037177672,0.3558222116188087,0.7701937592169873,0.5849776560099905
14,15,2.101634837717346,1.395313155032304,0.8304874878594998,0.8030038454395763,0.7048324208212801
15,16,1.488808304274267,0.40424678368357975,1.0442396290165927,0.6514662874487119,0.6965649479298729
16,17,1.6788153549029072,0.4606393534616379,1.2143098301703688,0.6633561168898795,0.7535002436236559
17,18,2.2026131826491837,1.7821617712142592,0.605642847414673,0.8442283811996608,0.7396150754046097
18,19,2.13956809453284,1.163353864339449,0.961699287127934,0.7078122834340538,0.7084091274037472
19,20,1.187152114083491,0.6810290095936703,0.5075377725004617,0.7235292803106972,0.6850434625615898
20,21,2.2018124764666553,1.558430724843995,0.657720809625176,0.765523262388021,0.6825261496301168
21,22,0.844415850930685,0.35150084137294496,0.4295838207379388,0.6301388361184125,0.655526811647876
22,23,1.9411795125458045,1.6763381830334556,0.30112223171717395,0.7918584680035821,0.555412911390966
23,24,2.842628518766369,1.5873808450692433,1.5158146782583808,0.770990976744169,0.7096928155021832
24,25,1.328830653424365,1.0014404008747575,0.3550742244959487,0.7630774944633036,0.6763030473085268
25,26,2.1766785138928304,1.1544671527294124,1.3174306792385648,0.7897074234907268,0.7637678870594375
26,27,1.592167313821173,0.5267691811169455,1.143845716283013,0.7607899253108759,0.7798389226513427
27,28,1.1999544465135623,0.5623424152336441,0.6126129803108857,0.7217185845253024,0.7075455711332755
28,29,0.9110314233463394,0.3000873466582421,0.6185172469498899,0.6716895384725029,0.5994787269498679
29,30,0.8265001433916495,0.619699819973356,0.22495772687925947,0.635618584697427,0.626262204090685
30,31,1.6758004048256567,0.9159372539779466,0.87220455692532,0.8035094932413929,0.7520306441086536
31,32,2.7131165365611585,2.0993059662030866,0.551634983061878,0.7589914449404117,0.6775680467507358
32,33,1.2146393852497086,0.7682667265869031,0.418537172750833,0.7433417498403504,0.629664121262662
33,34,1.6994175023731137,1.006012692779596,0.7173787716434483,0.7384677770399207,0.6764300039751195
34,35,1.4893250639093698,1.072630620847506,0.45703033020940925,0.7761831819063213,0.6829317260113063
35,36,1.47163256681761,1.0326949901653444,0.5433793382186364,0.7320519863590432,0.6700107885087735
36,37,1.101777491089178,0.7466983847818365,0.2796619911043837,0.6689106407635058,0.6097757977732648
37,38,1.469005994657152,0.8857270519756251,0.6016415176147415,0.7006180243414212,0.7099234297243168
38,39,0.8727262349306383,0.23474641952273204,0.6107071205663238,0.6552403221091568,0.6788679594352568
39,40,2.5047832712394236,2.212245639861762,0.3134108253046547,0.8257786269543224,0.5880123485686481
40,41,1.4548551116023154,0.64601838038873,0.7785272497218705,0.6979552341968241,0.6799954345183438
41,42,1.0196357894169954,0.6651055275554335,0.27767609082309724,0.6872465847779449,0.6455732428063043
42,43,1.2314014627255807,0.23250033228146752,0.9016517659565753,0.6526393884627361,0.6279607188029735
43,44,1.36150491576936,0.8301235759271411,0.45553379674375005,0.6791550201977189,0.6499270444043593
44,45,2.7533016209645735,2.098456730776647,1.066865147744313,0.8376497053612086,0.8034534219986286
45,46,1.3811699423438446,1.09099690154596,0.2539347702814185,0.7398535805489368,0.6652382166233275
46,47,2.668257341359696,2.3067099592953846,0.3281941652973143,0.7744398901025128,0.624385947652743
47,48,1.9082672074692053,1.697291801631748,0.23482874593082165,0.7870649825013482,0.5962791451384766
48,49,2.0825116350642094,0.7715346688192567,1.3960044088429622,0.6700876215502254,0.7651215749998297
49,50,0.9210531905847921,0.6743330274254407,0.2114317868108725,0.7215434608390507,0.5334770670553105
50,51,2.5973955533756508,2.4284115360743175,0.27812657636681337,0.8393428504149492,0.5957455970538782
51,52,2.1483872016063623,1.456073944559629,0.8221116504771168,0.767165910432803,0.7262942706959205
52,53,1.4857274582526139,1.1073955628360896,0.3876176920306025,0.7674880625923272,0.6741490019984346
53,54,1.7045843017139413,0.8617843903616164,0.810838955695188,0.6986520629418166,0.6969127536940981
54,55,0.9467237034543599,0.4034117907173424,0.5153801466475315,0.6469690771522039,0.6849620654781458
55,56,0.8319654764724465,0.42791280021791406,0.39917253401172686,0.76799558654032,0.6794511519026084
56,57,1.0627693349534955,0.6774304619793001,0.3831247701930422,0.7277980793755052,0.629124371214173
57,58,0.8015235957416044,0.42124540607305916,0.3727542299518755,0.6809758661407275,0.6678147340591348
58,59,1.0781396860780998,0.6658065117962176,0.30227308132807607,0.6775604824451816,0.6210315228118499
59,60,2.415107812783727,1.259062704513876,1.2972861556588162,0.7134381914957467,0.7144367363037275
60,61,1.0145829932710781,0.6866126317586213,0.31317435952725364,0.6950495394626022,0.6640837791980873
61,62,2.0928632308294377,0.7565182806832815,1.34070508187705,0.7419516310692967,0.7021115757811466
62,63,3.3345978894459414,1.913397887925305,1.6487831536217812,0.7542149001656163,0.7626829291262901
63,64,3.140666002674187,2.5064113168069486,0.8873473066906943,0.7997675209561714,0.7293469413037247
64,65,1.633266885081448,1.0970367601879658,0.6281330108573058,0.7040714291216693,0.7393299888115918
65,66,1.9692688283723465,1.3234383645925927,0.7459290502687214,0.7695871355743875,0.664349767869137
66,67,1.7050966171783695,0.2992519000643071,1.3701820915447012,0.6102792170497378,0.7974249002410078
67,68,1.4223057550634566,0.9864047936612624,0.45367978334048736,0.7303937704178423,0.685886293199837
68,69,2.698290653249362,2.203494601302302,0.5453890016954854,0.8067976537237052,0.6770555769093707
69,70,1.411661108755145,0.7328649673136667,0.6866715289920636,0.7143078435133252,0.6908250205395885
70,71,1.6530447311132068,0.776834500506568,0.8669522313062924,0.7184677706044899,0.7895401855954457
71,72,2.0812207382331063,0.9841094025809946,1.219787497526841,0.7748640550373586,0.7653033700718109
72,73,2.1287255235479523,1.188852033229754,1.0374400768141454,0.7697653476931962,0.7327564812932691
73,74,1.049072457484444,0.5169228238280453,0.5235133714484915,0.6489694196466186,0.7111032928989838
74,75,1.7963080238791802,1.1705520259176234,0.5396829051506805,0.722468625035692,0.6614565184531006
75,76,1.587269130226207,1.0619067456642035,0.6344016932292623,0.7316253190090305,0.6388218734095006
76,77,2.2748616256442853,1.4344349126376565,0.8216441146053397,0.7413967139774374,0.6475304818206628
77,78,2.5744306956814116,1.4653677284082032,1.200240721078593,0.7900633195452227,0.7513549101831422
78,79,1.3435038003554827,0.49394417775114735,0.8803482513624817,0.7182412399675383,0.7304546870423
79,80,1.450756033925295,1.0457714688687019,0.3596549658793598,0.6990402740510457,0.6055880310493397
80,81,1.4341502826389363,0.6353190647161754,0.7480383954126317,0.6817806643153739,0.6462573085594342
81,82,1.0125146029675596,0.6997717537283025,0.385660165421978,0.7848527337548536,0.6996426564287943
82,83,1.7679750537746375,1.173558536432723,0.6319800230722696,0.750454772961579,0.6974042007121478
83,84,3.2449245913350535,2.9655131302228392,0.5187707181678917,0.866292251337993,0.6725722863185237
84,85,1.9833574836688437,1.2859899956103524,0.7510834199078558,0.758865339082097,0.6984504460111761
85,86,0.9061874698751435,0.610800214105175,0.2500778822762113,0.6480901520852101,0.6479183697008926
86,87,1.3743377163233437,1.1664273976365813,0.38818677869878293,0.7644044071128139,0.6216746409746747
87,88,1.8796262249980125,1.0279292595232212,0.8797059280992338,0.7119001392532848,0.6969550971834176
88,89,1.8018108324617825,1.20398929937753,0.5602838074079635,0.7114778996256798,0.7002393863174884
89,90,1.1620766449078028,0.6983127304539721,0.40566008220844046,0.7012454977568408,0.6537135297672759
90,91,1.5256648118378608,0.6123069176961011,0.9310950391610631,0.6941407272915188,0.7409795273317176
91,92,1.6262428684662404,1.0154185726521776,0.746969657320789,0.8139571795149465,0.733541925898452
92,93,1.8964264128796517,1.5283899655642506,0.3561837822349038,0.8073542953768807,0.6409786950123365
93,94,1.4561641284028268,0.7118684589176473,0.7837334479627562,0.7927721042429218,0.6747116459656719
94,95,2.355195007480715,0.9716137459308526,1.5150191050187987,0.7921836601508913,0.7727578622984699
95,96,1.5355488742907684,0.7762487621784442,0.800914475810663,0.7312542018266384,0.7284103210328147
96,97,1.6926148324629529,1.0654600438844406,0.645319436106527,0.7601941163586292,0.6482953315346924
97,98,1.2482044942924104,0.6684121243292661,0.5560836620176571,0.7027869269517565,0.7150468679022056
98,99,1.1907607647786413,0.6193040401586052,0.6394102526351609,0.74828851347619,0.7070683265416563
99,100,1.6124463253975194,1.2139346632809245,0.5384263729929727,0.8092842617105764,0.7215916606847607
