Customer,E_Wi,SD_Wi
169,8.250478356853877,8.444797553645015
170,8.280301091189203,8.603304816920101
171,8.387389112633727,8.547910577530113
172,8.53795128647454,8.389095513579536
173,8.601120657446803,8.298645620493248
174,8.295777935988365,8.297445854486165
175,8.591485954802021,8.53332982532004
176,8.504856349429291,8.260002362714712
177,8.334423360642763,8.359313012732349
178,8.41707144396851,8.229340115982655
179,8.404957050206063,8.26145177901685
180,8.414707261785953,8.267579527974108
181,8.306193969404934,8.187925218716163
182,8.081283244944762,8.323712385695208
183,8.346405291398284,8.193652277338801
184,8.469510352873293,8.026874304310315
185,8.467395157978139,7.92489403160963
186,8.27494002779087,8.005849003264524
187,8.263690746821736,7.883964950994689
188,8.06288700465165,7.772980339837676
189,8.04729815021678,7.9246562816820445
190,8.142966685865659,7.982643694356663
191,8.298050176632149,8.058847687301139
192,8.312713646987499,8.167297058284161
193,8.118935518475055,8.228750756502087
194,8.107409083956357,8.082945718311393
195,8.06776725251525,7.825205733233467
196,7.996911371332433,7.6541554001598024
197,7.811428048003851,7.58526064377879
198,7.8555639516194375,7.766651137144674
199,7.849483323038844,7.665778954161627
200,8.104155395444838,7.773449124425527
201,8.22083333998146,8.210753962399954
202,8.243033353525005,8.200763514183397
203,8.347868762817324,8.32889318435964
204,8.311345543268404,8.357750375116751
205,8.362162805694037,8.522818226920622
206,8.462957838726584,8.717438939185415
207,8.455363547488034,8.742990231790985
208,8.31786645126875,8.514831834382852
209,8.362464039969428,8.579426580655166
210,8.320893083197374,8.588568634551544
211,8.292216553250404,8.732856936853135
212,8.313558655723002,8.667818670408597
213,8.27965676153513,8.693796513295446
214,8.400143989689543,8.517974484131443
215,8.260159499402937,8.554816168157176
216,8.172582179764811,8.3410268175454
217,8.20407157277883,8.301237957474147
218,8.054560395992576,8.266824932618283
219,8.10324308678562,8.145676556653733
220,8.461016403779125,8.283934162600152
221,8.437616176993577,8.245231696809926
222,8.26565102509689,8.29378157158704
223,8.24420124044641,8.389251139553854
224,8.305372163149752,8.354655605903387
225,8.496763542481435,8.358826670411974
226,8.474312807307648,8.459106421698834
227,8.349655205752212,8.430402981036744
228,8.407678114902152,8.446409332280497
229,8.23716156887942,8.447343764036884
230,8.219629424979225,8.508270701556867
231,8.281782797980872,8.321095889330167
232,8.12088169072334,8.364694761386486
233,8.07857091369126,8.488296023287653
234,7.978496452301987,8.606024060332583
235,7.99379284866211,8.873978893875467
236,8.123363863710916,8.821179411031641
237,8.089824718961731,8.70514295394407
238,8.07793539349587,8.801223410271254
239,8.34243599828189,8.89312909124231
240,8.522484207158241,9.156929912540033
241,8.590198592091857,9.195919623507653
242,8.570142639414312,9.352147357749196
243,8.568746364674398,9.22513397671415
244,8.819536005380312,9.269393062575759
245,8.702124810781099,9.333140548937465
246,8.761670498001058,9.200528759709465
247,8.874227337929689,9.202302665863657
248,8.845618877560637,9.119051928182547
249,8.852445798441451,9.258249239637205
250,8.744464511234476,9.221157730581586
251,8.710168822053845,9.408431014666991
252,8.83582423133709,9.465066609689421
253,8.81250156298519,9.215789266603096
254,8.50702731538967,9.090031122826193
255,8.47086843909779,9.319381326788445
256,8.383801001098462,9.338834571516866
257,8.434597322979299,9.230824757036327
258,8.403341584364215,9.373683598781161
259,8.375489515579114,9.040755407545028
260,8.471815760333094,8.818255687304152
261,8.355173905246787,8.78316951118685
262,8.300862416690606,8.769125553756938
263,8.168892550529602,8.681505515131043
264,8.19862693759699,9.060663168834955
265,8.156425302949327,9.030740522598293
266,8.065641604492905,8.944046941678563
267,7.972324581194301,9.119044361383061
268,8.133557167368973,8.9291130056458
269,8.033785005891518,8.954984744103744
270,8.08171709938747,8.898974206246523
271,7.9694306001302735,8.886886444259003
272,7.960453991438701,8.717949137416763
273,8.102785718172733,8.80633371461617
274,8.206904492347137,8.83780566885479
275,8.088077036076463,8.459677850637762
276,8.106486566842689,8.727569286001195
277,7.85430554642747,8.698731621727333
278,7.901831083138056,8.68204321132838
279,7.83002465245448,8.668565935429719
280,7.998456441228355,8.711260641600457
