,AllWaitMean,AllQueueMean,AllQueueNum,AllServerMean
0,2.0045436852653555,2.012457227584676,1,0.6693372192651349
1,1.993136991720074,1.9991800107562783,7,0.6669280734746896
2,2.0383479957037434,2.0467643788016967,3,0.6748390021450442
3,1.979192118138986,1.978343477863765,2,0.6695760795892429
4,1.9749431892005396,1.9674994224972266,1,0.6622675968873662
5,1.937540691886181,1.9340918694546323,0,0.6645726488511873
6,2.0410182778724737,2.049647786499032,3,0.6716446161274209
7,2.0038246087987477,2.008553634875492,0,0.6657160073024904
8,1.9942905254635095,1.9882543671422386,4,0.6645861303176066
9,2.0369995781974675,2.0455471398174656,12,0.6722689960410181
10,1.9733795281628836,1.9717539528256163,2,0.6643755017351487
11,2.0238350204617888,2.015780157080322,0,0.6650203287557911
12,1.9857900639151644,1.9902382336583437,0,0.6660362089195456
13,1.9538203691899818,1.9551688366766293,4,0.6655694280303956
14,1.9688309036639269,1.9649201894806971,0,0.6658800013046783
15,2.0311676926127546,2.03853269147418,2,0.6711826127273999
16,1.9495463315494994,1.9423574032432611,1,0.6621807481961066
17,1.9456169753332144,1.9513760015802109,0,0.6673403030109828
18,2.0190281102234433,2.0181397378549684,0,0.66564315972864
19,2.0634270152638408,2.0784662181186424,1,0.6748651857008763
20,2.042359406091364,2.039628406617078,2,0.6701293145463576
21,2.0117708620117236,2.0062183744325575,0,0.6697327481234118
22,1.9517644045917624,1.939056065229716,3,0.6605060952347047
23,1.971912700036862,1.9615798774886806,0,0.6609621054355453
24,2.043432734825883,2.0568375582629144,0,0.6781029201076146
25,1.9866579864453306,1.9834770544046052,4,0.6671073533584783
26,1.9781616253794396,1.9603082349796928,1,0.6621293862413742
27,1.9775253111203654,1.975244429773096,0,0.6637101288081805
28,2.0093015870879727,2.006006332485151,0,0.669048290542494
29,1.916118494215012,1.9162451013452297,0,0.6622426161535133
30,1.9524513907672736,1.9526829097438363,1,0.6688761554588394
31,2.0469607260017764,2.053224334682285,0,0.6747547538031092
32,1.9995002129387083,1.9957730411169172,6,0.665574255566951
