Customer,E_Wi,SD_Wi
1,0.6802905999127776,0.7262887044812719
2,0.9551848308375473,0.8914496807370866
3,1.0803152533026184,0.9545515990952883
4,1.2062884113859178,1.0582804745132104
5,1.478853970960618,1.3470351958910831
6,1.5413343494595906,1.5105922736760247
7,1.6050929373716545,1.4891575721277772
8,1.704532251258304,1.632967734865916
9,1.634551002063845,1.5346389375658478
10,1.4535316576531125,1.4561386670209757
11,1.4436795029209086,1.402879403764721
12,1.5532595677256094,1.3574204451672744
13,1.5646173397600296,1.4118750498559811
14,1.6506116732520126,1.4039132206279592
15,1.555975028624016,1.3187713560746719
16,1.575975450285671,1.3605676965661244
17,1.7003980023713536,1.521306159621821
18,1.6189598753430121,1.5707637334972955
19,1.6781263805432698,1.5893015875837553
20,1.8053107682734353,1.6550303302166594
21,1.8959698594207475,1.7047185649146968
22,1.924137317977095,1.6771099732004027
23,1.9099462017288613,1.6830184691232344
24,2.064077859972262,1.695751098628021
25,2.107552206540408,1.9274317628964697
26,2.098616388980088,2.034547502851715
27,2.2660384408670207,2.1332275668918967
28,2.1650323391867885,2.0999932115703754
29,2.0343182949654075,2.042039433382314
30,2.071093345918853,2.139241178811034
31,2.041411787616718,2.055632705064551
32,2.045263005792248,2.2244004756482627
33,1.8874423801872608,2.162280428288112
34,1.9971253705355603,2.187843835176377
35,1.9961864732304502,2.306754952476023
36,2.056826051910357,2.408722217493146
37,1.9064855535937368,2.384904260370001
38,2.014039410393048,2.3187774225136617
39,2.009059959274217,2.1978556471118273
40,2.205118670570298,2.125593954328964
41,1.8653525529697774,1.8825556062541122
42,1.9175387254671643,1.6935704804228047
43,1.9181173731605745,1.7585600659306175
44,1.9927319898164524,1.6850898742686617
45,1.9246057334504474,1.6769298483362458
46,1.7861131480395398,1.8357544360198612
47,1.7439556339615803,1.916840566853735
48,1.8462495776951302,1.8680563196602642
49,1.84690708259646,1.9670619933467377
50,1.8871040931574814,1.8472677135232038
51,1.7500737407571318,1.719326670490064
52,1.8166922286789449,1.6865247131225793
53,1.8083915573578702,1.7233772110140686
54,1.7391205217197834,1.6738522366183575
55,1.8129659557614906,1.608116847923613
56,1.7938247124008633,1.5729797459412878
57,1.6969341333415042,1.5929379285699763
58,1.7703750182053022,1.4541801999673858
59,1.7932469841225334,1.5513289917908692
60,1.5821104543006863,1.6282864302539288
61,1.7212060330061245,1.692655921862909
62,1.6363613901078071,1.627139078196338
63,1.6807726995373635,1.5241122564438367
64,1.6223219630801815,1.5559145088703077
65,1.616671510793433,1.440362660659337
66,1.748451283570551,1.4511067989315423
67,1.7170667441991379,1.462972667905922
68,1.8819068261390215,1.499910659384965
69,1.8127457857930755,1.509033460506254
70,1.8832294949033004,1.5634030265611207
71,1.8592419574583425,1.5983751896753018
72,1.8187428904633123,1.804035518530688
73,1.780085507442485,1.7265092191836866
74,1.9662320061318763,1.8898155513153303
75,2.034552060980573,1.8736865400675258
76,1.9917397535453027,1.796737909143299
77,2.096507796131014,1.7884415386677992
78,2.1007536574498626,1.7947540154166994
79,2.0532635281437615,1.7542007535878832
80,2.046201161310477,1.8536837028678737
81,2.061433532721428,1.8194977405102968
82,2.0689428262009324,1.761584713409989
83,1.993549549788214,1.8699375181855553
84,2.017525488691378,1.8995462222718753
85,1.9925460891265976,1.7960707199179635
86,2.096665831411567,1.966144705226312
87,2.0349722462647284,1.9449924054230139
