,SlNo,AllWaitMean,AllQueueMean,AllQueueNum,AllServerMean
0,1,0.18414801001357925,0.1829970849509944,0,0.6441683345006168
1,2,0.08068022019410682,0.07546962263990409,0,0.587914112764172
2,3,0.32825092008673107,0.32619935183618903,0,0.6467224168622626
3,4,0.17114200839607815,0.16044563287132327,0,0.6006552884545724
4,5,0.5024775838178716,0.5307419479076267,0,0.6776870102210136
5,6,0.3495977008689227,0.3635646675721339,1,0.6928912668297951
6,7,0.16778332918158248,0.16044280852988824,0,0.5954575115756126
7,8,0.7388403253903789,0.7730383529657432,4,0.7258580491093075
8,9,0.10346731884783976,0.09894062364824678,0,0.608927882927721
9,10,0.3892704751119455,0.4087339988675428,0,0.6643260077325228
10,11,0.30600646580922836,0.28305598087353623,0,0.6299101989133319
11,12,0.7748195320682245,0.8046515757081802,2,0.6815390757990778
12,13,0.22904277130011474,0.21949932249594328,0,0.6458499597324797
13,14,0.1880180538897662,0.18645123677401815,0,0.632436366553382
14,15,0.3645939152319843,0.38662146427725,0,0.7000309749365698
15,16,0.08473018969129854,0.08243541372049254,0,0.6134268728171102
16,17,0.3100656488551448,0.30941967875336324,0,0.6553000520751093
17,18,0.7408052185814801,0.8040823310019815,0,0.7324152617729189
18,19,0.20912905223570652,0.20818166055415985,1,0.6469164593802831
19,20,0.3804116959726025,0.3812042203392121,0,0.6523903136553311
20,21,0.20091365233156658,0.20216936265863886,0,0.6756556222882282
21,22,0.11416006115095748,0.10559805656463567,0,0.5921595176415962
22,23,0.15583033239806554,0.15926375553828545,1,0.6302457253648814
23,24,0.7099619764091043,0.7708335494882063,2,0.6961815499679216
24,25,0.2945642443881594,0.3007009994795794,0,0.6526217511187321
25,26,0.3532893151963265,0.40919664874583456,3,0.7365144150638637
26,27,0.2845405108920078,0.29698915824353317,0,0.6992278102506168
27,28,0.29320185727421855,0.28709348524767236,0,0.6534075586021171
28,29,0.19058741584707803,0.17986687370567989,0,0.5884034834971494
29,30,0.2505371575466853,0.26299076609160704,3,0.5984931527886208
30,31,0.5002111507686428,0.5346006673839869,0,0.7433676957761494
31,32,0.28040773047722845,0.2739817199871253,0,0.6453081781845397
32,33,0.15175513595797363,0.14827741409227008,0,0.6366837914504363
33,34,0.19042521897797296,0.18804490374074828,0,0.658805899640381
34,35,0.20531226520539955,0.21087280572137912,0,0.6614006676069325
35,36,0.3611086805006886,0.38443028278302477,0,0.6552899636738138
36,37,0.12094348977612149,0.1128805904577134,0,0.5876572498990313
37,38,0.22321738087788384,0.22600759813885737,0,0.6470653080778993
38,39,0.14332061800833013,0.1388418486955698,0,0.6032283086212994
39,40,0.1822419935920104,0.1837606768719438,0,0.6757553770006705
40,41,0.39070356360106173,0.38256390602603957,0,0.6398877889662846
41,42,0.09330855031730018,0.08514405216453641,0,0.6239516537728027
42,43,0.04642032221281388,0.04264867103302275,0,0.5878966454321024
43,44,0.3495275970555531,0.3306090988292331,1,0.6116008854545975
44,45,0.467504554015202,0.5371512748934051,1,0.760403253240842
45,46,0.09136439554795808,0.08888994316853421,0,0.6418855239318755
46,47,0.2788891502128394,0.2754030358351789,0,0.6465057128465621
47,48,0.1858702695958212,0.18819364796576898,0,0.6613435651600382
48,49,0.23605044225716962,0.24096815980419398,0,0.649583687485783
49,50,0.10462057735788857,0.10026138663464321,0,0.5960652253811407
50,51,0.26302204085480096,0.2734333299719702,0,0.6942867148139117
51,52,0.3202278938314317,0.33957499575041405,0,0.6783025832131995
52,53,0.20995254464229018,0.2112647480463045,0,0.659350396399306
53,54,0.5305652678511528,0.5206171690789436,0,0.6549334189441486
54,55,0.21915766497615788,0.21276556641435326,0,0.6173739026891063
55,56,0.23466993307871137,0.23271435030305543,0,0.6556187381327864
56,57,0.20061118986434465,0.20019324988546058,0,0.6474594182885336
57,58,0.18291586696373652,0.18139156807237203,0,0.6274248750729979
58,59,0.18220171752454825,0.16360195886058396,0,0.5930708313619307
59,60,0.7914955531747601,0.8393150761790685,0,0.6543126378724219
60,61,0.3046153276890468,0.3001730208269148,0,0.6264490841569905
61,62,0.27890804816414877,0.27948910659782406,0,0.6664678510102973
62,63,0.6542934064107966,0.7020023006282503,0,0.6980804211251468
63,64,0.7392478109801325,0.7963235923919058,1,0.7139752812133687
64,65,0.3740677692922592,0.38809531064071895,0,0.6877998374508023
65,66,0.1920276110217515,0.20536062708097205,3,0.6314278868339352
66,67,0.4709701149602915,0.46213942530478597,0,0.653104690462911
67,68,0.33388069154178107,0.3380542001860533,0,0.6761273828618634
68,69,0.3379943815608325,0.3443317762150981,0,0.6707918878755808
69,70,0.6577727198863133,0.6632541592186991,0,0.6541309391047114
70,71,0.7099986684107666,0.7070403406257219,0,0.7080056082864742
71,72,0.3594726981029112,0.37744633300805674,0,0.7069709519266164
72,73,0.39751423690360765,0.41573363942835634,0,0.6699039115948883
73,74,0.26517746684804255,0.25744312406497466,0,0.6218902534139805
74,75,0.4744728784953646,0.4517377197341284,0,0.6347790554995316
75,76,0.364393309826946,0.3727439898438135,0,0.6589164952360773
76,77,0.41934955417424863,0.4160413172146795,2,0.671112261794995
77,78,0.38010877735561466,0.3935709632202926,0,0.6805953776050836
78,79,0.286455102323371,0.2951685088994044,3,0.6706393125800486
79,80,0.14475698805542642,0.1399848983994083,2,0.592222888560139
80,81,0.17918582119288898,0.1728396566923075,0,0.6086232105093641
81,82,0.11991179103094599,0.12790591043300906,0,0.6944403393231561
82,83,0.6151969002219189,0.6381337033318745,4,0.6710289677176903
83,84,0.7552923613782602,0.8166253576194066,3,0.7292817454898123
84,85,0.3933013041971644,0.40395321451917093,0,0.6547608914295855
85,86,0.17682495895855102,0.17004587726603396,1,0.6052726347003504
