Rep,Mu,Phi,Sigma2
1,7.115920920403971,0.9416262202810864,1.6900025077914456
2,2.346751643059086,0.7589043322617641,1.1067085507247243
3,7.35447521664513,0.9353123040199401,1.8324632668348437
4,7.508124926813117,0.8968224515280836,1.583153464426021
5,4.923456234652605,0.9095599384160664,1.4287341616450004
6,37.83129456107577,0.95346722885867,2.3622202415365803
7,3.6560312418194347,0.9024430310698128,1.36474636216722
8,10.666673656261748,0.9777228314546589,2.635502919499248
9,11.303793937723785,0.9122685406716492,1.41556709283013
10,5.226445320736067,0.9124993136067101,1.9826092920957195
11,6.5762686184613655,0.9331146890245836,1.8498749548988833
12,31.40364960965202,0.9460092116624343,2.7149017482356568
13,10.995826345530022,0.8755276039720296,1.8572401075436005
14,2.3863986050473205,0.8433929344879367,0.964855530800141
15,12.344369302506129,0.9340917962073594,3.571029223997542
16,5.665067299669842,0.9159483755932468,1.7537105528491
17,2.721826659988932,0.8844111535175384,1.224551345427901
18,7.383984202061904,0.9628537123371239,1.5263300367885373
19,20.309079367717292,0.9310624492728606,2.664345044190008
20,16.61905403777907,0.9683498863616853,3.003403139059595
21,3.5632118739699696,0.9049004444807175,1.8016650277238806
22,2.403558943997631,0.7282258331267125,1.2534181892064507
23,3.333451160488903,0.9083108648891033,1.0398742730647255
24,4.891486538325198,0.9071036332349555,1.808634134391115
25,3.4263820659054263,0.9334312408608831,2.207680197594321
26,17.181639757475217,0.9729090900193493,4.3046133284421195
27,29.7329333511748,0.9688205744810771,4.741092930903384
28,2.4094498666578748,0.6768399148221029,0.9886529063781446
29,4.635141020937239,0.9599743982709301,1.1193733226282385
30,4.532699363168655,0.9320979964755484,1.4712473889851188
31,9.807346608680138,0.8617920098428237,2.0981522078931785
32,12.835607348173044,0.9109161723554567,1.9450842696866024
33,13.834507532261723,0.962546890552814,2.9925681525664785
34,13.824214242233683,0.8865398850626341,1.6718043955394852
35,7.990189101977263,0.9118002264533586,2.4244561009503323
36,2.8116636418554104,0.8943545773784906,1.1446828952013626
37,3.970446836365559,0.8697729062842416,1.936955884118011
38,3.9120935428920087,0.8269734301314714,1.159839904950878
39,5.856122903478055,0.9208438440978757,1.2424443857302463
40,17.451449445013893,0.9052233661555835,2.3851233295607557
41,8.239642032259127,0.9693695331532487,2.3451196002443107
42,2.672256842682744,0.8704895802257432,0.87871715764851
43,2.454547854649063,0.7364422116209332,1.749629443263486
44,2.8944220898005932,0.8874144108934909,1.2742433363496815
45,3.492373272764383,0.7873961081101419,1.787756813234846
46,24.742756578816127,0.9582286052134721,1.9412532008816101
47,19.451214826389652,0.9050719908013548,1.4642428326230867
48,4.444753854166566,0.9151635773005619,1.7978250274079224
49,5.489826264894294,0.9375629342133251,2.949277058760875
50,2.608435441010554,0.7433225210027933,1.303981419579671
51,3.519927630633473,0.9148153676866604,1.373028558640384
52,3.8428033066113847,0.8974327986569726,1.2305803955694918
53,5.618544713199293,0.897881501173894,2.289963603133344
54,11.863300089645188,0.9612096598846106,1.8834910188205731
55,5.4788058724528765,0.8914644009857059,1.6651457771087272
56,4.914068432679326,0.9568911127767171,1.6380411976656906
57,44.390419657338036,0.9845199078739343,2.0521447760495994
58,6.190371364261622,0.9015126536423007,1.9675344498461946
59,4.515693385684633,0.8412953146783044,1.922114116882915
60,3.9419158525134197,0.8379879239203717,1.5910207323090573
61,13.814252384265428,0.9428271218398985,1.6537499199578212
62,5.145322256074019,0.9515759699468224,1.584919151619701
63,3.249326287240714,0.8882385641969969,1.7481089235391891
64,4.517342245861123,0.8523954544268362,1.92056587999363
65,2.8746874695689724,0.8346396327636928,1.5522760279737258
66,1.880228079185914,0.6890741471633138,0.8887328964364057
67,3.429156224158333,0.8751251834289169,1.2859553842051086
68,6.842196245845866,0.9568222811841905,1.784588213175761
69,28.661008595856014,0.8863151214777116,2.458934255917182
70,15.990549260281805,0.971588685423924,2.530009589684528
71,4.590735264804535,0.8680737333366977,1.6904298935080364
72,9.167658850654412,0.9456029497335063,1.7970578766595386
73,10.567091964392649,0.9559527161350985,1.8282181472468118
74,7.799787219590748,0.9649940015390333,3.678609130303925
75,4.739313822468389,0.8805518975396629,1.8275625769340305
76,10.807854618524102,0.8936149911031098,2.325634026250318
77,8.204416548749117,0.9646877347846808,2.18880665899977
78,4.15973918085615,0.9191306803557282,1.8396362141902678
79,3.0183637128264578,0.7439853790066315,2.033885238411989
80,4.788199174649468,0.8925561912859675,1.9352318249752274
81,5.196634283047013,0.9432731804142385,1.2597248103588863
82,31.948958155558007,0.9737501583265064,1.5157349710846946
83,4.878635015582177,0.8359100010028618,2.3504265097747328
84,3.359750423912309,0.7812569218796529,1.6481502826645775
85,2.204353157070266,0.7985403111958219,1.1967831896336676
86,20.385775206953532,0.9434929226716361,1.5670738716612163
87,32.56680403179104,0.9621072850360249,5.459732251768135
88,5.121072653498374,0.891653997610883,1.89124506168183
89,16.84408232228942,0.9497675807394493,1.16367358099177
90,4.065302232531176,0.9009411877299147,1.219388598375282
91,9.507921978187657,0.9682169645727781,2.129901186953346
92,12.167537328835811,0.945170066732756,2.412874206517076
93,5.797637668334522,0.9463733103133654,2.165518884026528
94,2.9547284055915086,0.8707541600383353,1.2776128210167632
95,24.613697523709817,0.900456538875647,1.5013285512610433
96,7.788140692328297,0.92771326223009,1.505841425698594
97,4.576652970730666,0.9455683551513895,1.7897079940278495
98,10.332757502800668,0.9668780524255234,2.238614014409459
99,28.353753781129864,0.9687911678404146,8.985729778645727
100,32.23783087762076,0.9417390164679668,2.6756580569221384
