Rep,Mu,Phi,Sigma2
1,0.9220941735708499,0.7301576013910266,0.3344172648114125
2,0.7676729931407118,0.5574065324497907,0.2578822349838398
3,0.8094476793444472,0.6196604871689261,0.4139564739637849
4,0.6055844110901637,0.48690317195477456,0.1669475286190976
5,0.7844285238962425,0.5909530213234089,0.297172447909351
6,0.8686035501157812,0.3417638613724137,0.39290100910278464
7,0.7270114407431879,0.437317462307765,0.2205258070269651
8,1.014629233566058,0.7341645622182456,0.40210115305577965
9,1.0156613717187577,0.6741755407575213,0.46658004810430836
10,1.2081970711725238,0.6704458808417334,0.4595913413260649
11,1.017541502117661,0.6447522836435565,0.5497569330119791
12,0.774529832583662,0.5580912256845488,0.2103610279911304
13,1.4596459232493277,0.866659285380086,0.638186088471382
14,1.3222512252390908,0.7463130715544475,0.5143690410053088
15,1.2890391397110437,0.7330083528726312,0.7025218364450935
16,1.0798156153265728,0.7839913814057069,0.43562482468764074
17,0.8438252373611402,0.5191141570268083,0.4810214403341257
18,0.9253643203163017,0.5913313585059278,0.402454294289341
19,1.487053324925867,0.9129744311520893,0.6661068787714071
20,1.185792523583343,0.5808898186616116,0.553875338382838
21,0.9561343664922856,0.7766054040393618,0.39169241879165795
22,0.7390142077335031,0.5304488015125015,0.302207479318599
23,0.8668662534332202,0.6635291418645404,0.3196336210741941
24,0.6835044996463773,0.41527214229470566,0.32122139762194685
25,1.1681412826503532,0.742498193671671,0.45045812738820573
26,1.1680602473106858,0.70484494125296,0.6362191219906328
27,1.0530529236846418,0.6672639733703729,0.3593217634534481
28,1.4406325923765366,0.906444666628434,0.5075978913244524
29,0.9223242823989278,0.7446933105873288,0.4131584783595848
30,1.1349866154944266,0.7643240964543419,0.4640442181419682
31,0.9047754475870573,0.5401371016798125,0.4520901736585685
32,0.9581909106701851,0.7232761088966502,0.359520837676745
33,1.4059911449882634,0.8233964345639617,0.5338974801586858
34,0.7548456989420754,0.45756154979299857,0.44017784365288043
35,0.7523527794254414,0.5385722374676429,0.3165249577387541
